iter	Passed	Remaining
446	1109	1372
447	1110	1368
448	1111	1363
449	1112	1359
450	1113	1355
451	1114	1351
452	1118	1350
453	1120	1347
454	1121	1343
455	1122	1339
456	1124	1335
457	1125	1331
458	1126	1328
459	1128	1324
460	1129	1320
461	1130	1316
462	1135	1316
463	1136	1313
464	1138	1310
465	1140	1306
466	1141	1303
467	1143	1299
468	1144	1295
469	1146	1292
470	1149	1291
471	1151	1287
472	1152	1283
473	1153	1280
474	1154	1276
475	1155	1272
476	1157	1268
477	1158	1265
478	1159	1261
479	1164	1261
480	1165	1257
481	1167	1254
482	1168	1250
483	1169	1246
484	1170	1243
485	1172	1239
486	1173	1236
487	1174	1232
488	1179	1232
489	1180	1228
490	1181	1225
491	1183	1221
492	1184	1218
493	1185	1214
494	1186	1210
495	1188	1207
496	1189	1203
497	1191	1200
498	1195	1199
499	1196	1196
500	1197	1192
501	1199	1189
502	1200	1186
503	1202	1182
504	1203	1179
505	1204	1175
506	1209	1175
507	1210	1172
508	1212	1169
509	1213	1165
510	1215	1163
511	1216	1159
512	1220	1158
513	1225	1159
514	1227	1156
515	1229	1153
516	1230	1149
517	1232	1146
518	1233	1143
519	1234	1139
520	1235	1136
521	1239	1134
522	1240	1131
523	1241	1128
524	1243	1124
525	1244	1121
526	1245	1117
527	1246	1114
528	1248	1111
529	1249	1107
530	1250	1104
531	1253	1102
532	1254	1099
533	1256	1096
534	1257	1093
535	1258	1089
536	1260	1086
537	1261	1083
538	1262	1079
539	1263	1076
540	1264	1073
541	1267	1071
542	1269	1068
543	1270	1064
544	1271	1061
545	1272	1058
546	1273	1055
547	1275	1051
548	1276	1048
549	1277	1045
550	1278	1041
551	1279	1038
552	1281	1036
553	1283	1033
554	1284	1030
555	1285	1026
556	1287	1023
557	1288	1020
558	1289	1017
559	1290	1013
560	1291	1010
561	1292	1007
562	1293	1004
563	1295	1001
564	1296	998
565	1298	995
566	1299	992
567	1300	989
568	1302	986
569	1303	983
570	1304	980
571	1305	977
572	1307	974
573	1308	970
574	1309	967
575	1312	965
576	1313	962
577	1314	959
578	1315	956
579	1317	953
580	1318	950
581	1319	947
582	1320	944
583	1321	941
584	1322	938
585	1323	935
586	1325	932
587	1327	930
588	1328	927
589	1329	924
590	1331	921
591	1332	918
592	1333	915
593	1334	912
594	1335	909
595	1336	906
596	1337	903
597	1338	900
598	1339	897
599	1341	894
600	1342	891
601	1344	888
602	1345	885
603	1346	882
604	1347	880
605	1349	877
606	1350	874
607	1351	871
608	1352	868
609	1353	865
610	1355	863
611	1357	860
612	1358	857
613	1359	854
614	1360	851
615	1361	848
616	1362	845
617	1363	843
618	1365	840
619	1366	837
620	1368	834
621	1369	832
622	1371	829
623	1372	826
624	1373	824
625	1374	821
626	1375	818
627	1376	815
628	1377	812
629	1379	809
630	1381	807
631	1383	805
632	1385	803
633	1387	800
634	1388	798
635	1390	795
636	1391	793
637	1393	790
638	1394	787
639	1395	785
640	1397	782
641	1398	780
642	1400	777
643	1401	774
644	1402	771
645	1403	769
646	1404	766
647	1405	763
648	1406	760
649	1407	758
650	1408	755
651	1410	752
652	1412	750
653	1413	747
654	1414	745
655	1415	742
656	1416	739
657	1417	736
658	1419	734
659	1420	731
660	1421	728
661	1422	726
662	1423	723
663	1424	720
664	1425	718
665	1429	716
666	1430	714
667	1431	711
668	1432	708
669	1433	706
670	1434	703
671	1435	700
672	1437	698
673	1438	695
674	1439	692
675	1441	690
676	1442	688
677	1443	685
678	1444	682
679	1445	680
680	1446	677
681	1447	675
682	1448	672
683	1449	669
684	1450	667
685	1451	664
686	1452	661
687	1453	659
688	1455	657
689	1456	654
690	1458	652
691	1459	649
692	1460	647
693	1461	644
694	1462	641
695	1463	639
696	1464	636
697	1465	634
698	1466	631
699	1467	629
700	1468	626
701	1470	624
702	1471	621
703	1473	619
704	1474	616
705	1474	614
706	1475	611
707	1476	609
708	1477	606
709	1479	604
710	1480	601
711	1481	599
712	1482	596
713	1483	594
714	1485	592
715	1486	589
716	1488	587
717	1489	584
718	1490	582
719	1491	580
720	1492	577
721	1493	575
722	1494	572
723	1496	570
724	1497	567
725	1498	565
726	1500	563
727	1501	560
728	1502	558
729	1503	556
730	1504	553
731	1505	551
732	1507	548
733	1508	546
734	1509	544
735	1510	541
736	1511	539
737	1512	537
738	1514	534
739	1515	532
740	1516	530
741	1517	527
742	1519	525
743	1522	523
744	1523	521
745	1524	519
746	1525	516
747	1526	514
748	1527	511
749	1529	509
750	1530	507
751	1531	505
752	1533	502
753	1534	500
754	1535	498
755	1536	495
756	1537	493
757	1538	491
758	1539	488
759	1540	486
760	1542	484
761	1543	481
762	1545	479
763	1546	477
764	1547	475
765	1548	473
766	1549	470
767	1551	468
768	1552	466
769	1553	463
770	1554	461
771	1555	459
772	1556	457
773	1557	454
774	1559	452
775	1560	450
776	1561	448
777	1563	446
778	1564	443
779	1565	441
780	1566	439
781	1567	436
782	1568	434
783	1569	432
784	1570	430
785	1571	427
786	1572	425
787	1574	423
788	1575	421
789	1576	419
790	1577	416
791	1578	414
792	1580	412
793	1581	410
794	1582	407
795	1583	405
796	1584	403
797	1585	401
798	1585	398
799	1586	396
800	1588	394
801	1589	392
802	1591	390
803	1592	388
804	1593	385
805	1594	383
806	1595	381
807	1596	379
808	1597	377
809	1598	375
810	1600	372
811	1601	370
812	1602	368
813	1604	366
814	1605	364
815	1606	362
816	1607	360
817	1608	357
818	1609	355
819	1610	353
820	1611	351
821	1612	349
822	1613	347
823	1614	344
824	1616	342
825	1618	340
826	1619	338
827	1620	336
828	1621	334
829	1622	332
830	1623	330
831	1624	328
832	1625	325
833	1626	323
834	1627	321
835	1628	319
836	1629	317
837	1631	315
838	1633	313
839	1634	311
840	1636	309
841	1637	307
842	1638	305
843	1639	303
844	1640	300
845	1641	298
846	1642	296
847	1643	294
848	1645	292
849	1646	290
850	1648	288
851	1649	286
852	1650	284
853	1651	282
854	1652	280
855	1653	278
856	1655	276
857	1656	274
858	1657	272
859	1658	269
860	1659	267
861	1660	265
862	1662	263
863	1663	261
864	1664	259
865	1665	257
866	1667	255
867	1668	253
868	1669	251
869	1670	249
870	1671	247
871	1672	245
872	1674	243
873	1676	241
874	1677	239
875	1678	237
876	1680	235
877	1681	233
878	1682	231
879	1683	229
880	1684	227
881	1685	225
882	1687	223
883	1688	221
884	1690	219
885	1691	217
886	1692	215
887	1693	213
888	1695	211
889	1696	209
890	1697	207
891	1698	205
892	1699	203
893	1700	201
894	1702	199
895	1703	197
896	1705	195
897	1706	193
898	1707	191
899	1708	189
900	1710	187
901	1711	185
902	1712	183
903	1713	181
904	1714	179
905	1715	177
906	1716	176
907	1717	174
908	1719	172
909	1721	170
910	1722	168
911	1723	166
912	1724	164
913	1725	162
914	1726	160
915	1727	158
916	1728	156
917	1730	154
918	1731	152
919	1732	150
920	1733	148
921	1735	146
922	1736	144
923	1737	142
924	1738	140
925	1739	139
926	1740	137
927	1741	135
928	1742	133
929	1743	131
930	1745	129
931	1746	127
932	1747	125
933	1749	123
934	1750	121
935	1751	119
936	1752	117
937	1753	115
938	1754	113
939	1755	112
940	1757	110
941	1758	108
942	1759	106
943	1760	104
944	1761	102
945	1762	100
946	1764	98
947	1765	96
948	1766	94
949	1767	93
950	1768	91
951	1769	89
952	1770	87
953	1771	85
954	1772	83
955	1774	81
956	1775	79
957	1776	77
958	1777	75
959	1778	74
960	1780	72
961	1781	70
962	1782	68
963	1783	66
964	1785	64
965	1786	62
966	1787	60
967	1788	59
968	1789	57
969	1790	55
970	1791	53
971	1793	51
972	1794	49
973	1795	47
974	1796	46
975	1797	44
976	1798	42
977	1799	40
978	1801	38
979	1802	36
980	1803	34
981	1804	33
982	1805	31
983	1807	29
984	1808	27
985	1810	25
986	1811	23
987	1812	22
988	1813	20
989	1814	18
990	1815	16
991	1816	14
992	1817	12
993	1818	10
994	1819	9
995	1821	7
996	1822	5
997	1824	3
998	1825	1
999	1826	0
